project_id,is_winter_day,project_type,material_type,scope_category,surface_area_m2,num_levels,num_units,building_height_m,floor_area_ratio,planned_start_date,planned_end_date,expected_duration_days,corrected_start_date,corrected_end_date,num_site_visits,project_duration_days,actual_duration_days,month_started,quarter,season_flag,holiday_period_flag,total_project_hours,design_hours_total,avg_hours_per_employee,num_revisions
P-2023-026,0,Institutional,Mixed,Complex Infrastructure,3990,12,1,56.59,332.50,08/03/2023,12/11/2023,249,08/03/2023,11/12/2023,71,278,278,3,1.00,Spring,1,1764.60,365.81,160.42,0
P-2023-027,0,Commercial,Steel,New Build - Mid Density,518,6,1,23.26,86.33,18/06/2023,09/08/2023,52,18/06/2023,14/08/2023,14,57,57,6,2.00,Summer,0,362.95,86.46,32.70,2
P-2023-028,0,Residential,Wood,New Build - Low Density,591,1,5,2.62,591.00,27/09/2023,27/10/2023,30,27/09/2023,21/10/2023,4,24,24,9,3.00,Autumn,0,119.08,29.35,11.91,2
P-2023-029,1,Commercial,Wood,New Build - Mid Density,1964,5,1,21.33,392.80,02/01/2023,04/03/2023,61,02/01/2023,14/03/2023,57,71,71,1,1.00,Winter,1,1424.75,346.00,129.52,2
P-2023-030,0,Commercial,Concrete,Tenant Improvement,1544,5,1,22.55,308.80,17/07/2023,09/10/2023,84,17/07/2023,30/10/2023,11,105,105,7,3.00,Summer,0,280.79,64.27,25.53,2
P-2023-031,0,Industrial,Concrete,Complex Infrastructure,2008,12,1,54.38,167.33,14/04/2023,28/09/2023,167,14/04/2023,16/10/2023,98,185,185,4,2.00,Spring,0,2456.64,371.15,223.33,2
P-2023-032,0,Residential,Wood,New Build - Low Density,269,3,2,10.17,89.67,28/03/2023,24/04/2023,27,28/03/2023,23/04/2023,13,26,26,3,1.00,Spring,0,361.83,97.89,32.89,0
P-2023-033,0,Commercial,Wood,New Build - Mid Density,1495,6,1,22.33,249.17,11/07/2023,25/09/2023,76,11/07/2023,01/10/2023,27,82,82,7,3.00,Summer,0,736.61,174.81,66.96,2
P-2024-001,1,Industrial,Wood,Complex Infrastructure,4803,2,1,8.27,2401.50,15/01/2024,08/07/2024,175,15/01/2024,09/08/2024,136,207,207,1,1.00,Winter,0,3432.97,523.60,312.09,0
P-2024-002,0,Commercial,Concrete,New Build - Mid Density,1972,7,1,30.00,281.71,20/10/2024,20/01/2025,92,20/10/2024,15/01/2025,39,87,87,10,4.00,Autumn,1,980.93,241.08,89.18,2
P-2024-003,0,Commercial,Mixed,New Build - Mid Density,1311,3,1,13.83,437.00,15/06/2024,20/08/2024,66,15/06/2024,26/08/2024,19,72,72,6,2.00,Summer,0,479.24,123.94,43.57,0
P-2024-004,0,Industrial,Wood,Complex Infrastructure,3635,6,1,32.00,605.83,24/08/2024,26/03/2025,214,24/08/2024,09/05/2025,152,258,258,8,3.00,Summer,1,3877.57,594.29,352.51,0
P-2024-005,0,Residential,Steel,New Build - Low Density,185,1,1,4.29,185.00,23/05/2024,07/06/2024,15,23/05/2024,08/06/2024,5,16,16,5,2.00,Spring,0,141.74,35.52,12.89,0
P-2024-006,0,Industrial,Concrete,Complex Infrastructure,3242,14,1,65.92,231.57,16/03/2024,15/11/2024,244,16/03/2024,30/10/2024,89,228,228,3,1.00,Spring,0,2232.35,322.57,202.94,0
P-2024-007,0,Institutional,Concrete,Complex Infrastructure,3583,6,1,31.85,597.17,19/04/2024,07/10/2024,171,19/04/2024,24/09/2024,174,158,158,4,2.00,Spring,0,4337.43,853.07,394.31,0
P-2024-008,1,Residential,Mixed,New Build - Low Density,560,2,7,6.07,280.00,02/02/2024,09/03/2024,36,02/02/2024,10/03/2024,18,37,37,2,1.00,Winter,0,429.92,129.47,39.08,2
P-2024-009,1,Institutional,Wood,Complex Infrastructure,2229,3,1,15.29,743.00,05/12/2024,20/03/2025,105,05/12/2024,09/04/2025,39,125,125,12,4.00,Winter,1,937.10,180.88,85.19,1
P-2024-010,0,Commercial,Steel,New Build - Mid Density,1106,6,1,27.28,184.33,04/11/2024,25/12/2024,51,04/11/2024,02/01/2025,18,59,59,11,4.00,Autumn,1,440.81,105.58,40.07,3
P-2024-011,0,Commercial,Steel,New Build - Mid Density,1280,5,1,19.87,256.00,24/07/2024,16/10/2024,84,24/07/2024,08/10/2024,7,76,76,7,3.00,Summer,0,194.38,52.30,17.67,1
P-2024-012,1,Industrial,Wood,Complex Infrastructure,3112,8,1,43.22,389.00,06/02/2024,22/08/2024,198,06/02/2024,11/10/2024,40,248,248,2,1.00,Winter,0,1027.03,145.07,93.37,2
P-2024-013,1,Residential,Mixed,New Build - Low Density,118,2,2,5.97,59.00,09/01/2024,27/01/2024,18,09/01/2024,26/01/2024,8,17,17,1,1.00,Winter,1,218.68,58.97,19.88,4
P-2024-014,0,Institutional,Concrete,Complex Infrastructure,1729,2,1,10.31,864.50,18/05/2024,21/08/2024,95,18/05/2024,29/08/2024,40,103,103,5,2.00,Spring,0,968.36,192.51,88.03,0
P-2024-015,0,Industrial,Wood,Complex Infrastructure,3690,5,1,17.83,738.00,24/05/2024,01/01/2025,222,24/05/2024,26/01/2025,127,247,247,5,2.00,Spring,1,3173.07,467.22,288.46,1
P-2024-016,1,Industrial,Mixed,Complex Infrastructure,4203,13,1,76.05,323.31,22/12/2024,06/10/2025,288,22/12/2024,28/10/2025,189,310,310,12,4.00,Winter,1,4743.79,705.37,431.25,0
P-2024-017,1,Industrial,Concrete,Complex Infrastructure,1767,12,1,53.96,147.25,13/12/2024,25/05/2025,163,13/12/2024,25/05/2025,138,163,163,12,4.00,Winter,1,3453.35,522.30,313.94,0
P-2024-018,0,Institutional,Concrete,Complex Infrastructure,2869,9,1,30.43,318.78,14/06/2024,26/11/2024,165,14/06/2024,02/12/2024,60,171,171,6,2.00,Summer,1,1538.53,304.43,139.87,2
P-2024-019,0,Institutional,Concrete,Complex Infrastructure,1632,11,1,45.08,148.36,02/03/2024,25/06/2024,115,02/03/2024,09/07/2024,116,129,129,3,1.00,Spring,0,2927.61,564.69,266.15,0
P-2024-020,0,Commercial,Mixed,Tenant Improvement,1626,5,1,19.29,325.20,07/05/2024,21/07/2024,75,07/05/2024,09/08/2024,14,94,94,5,2.00,Spring,0,354.99,97.79,32.27,4
P-2024-021,0,Commercial,Concrete,Tenant Improvement,1983,7,1,23.06,283.29,01/11/2024,26/01/2025,86,01/11/2024,13/02/2025,47,104,104,11,4.00,Autumn,1,1187.52,301.76,107.96,0
P-2024-022,0,Commercial,Wood,New Build - Mid Density,1650,5,1,16.69,330.00,17/08/2024,31/10/2024,75,17/08/2024,15/11/2024,37,90,90,8,3.00,Summer,0,990.41,238.85,90.04,0
P-2024-023,0,Commercial,Steel,Tenant Improvement,528,2,1,8.17,264.00,14/11/2024,11/12/2024,27,14/11/2024,11/12/2024,7,27,27,11,4.00,Autumn,1,203.16,49.60,18.47,1
P-2024-024,0,Commercial,Mixed,New Build - Mid Density,1428,4,1,15.30,357.00,21/04/2024,31/05/2024,40,21/04/2024,02/06/2024,35,42,42,4,2.00,Spring,0,892.60,223.78,81.15,1
P-2024-025,1,Commercial,Concrete,New Build - Mid Density,1054,6,1,27.01,175.67,25/02/2024,08/04/2024,43,25/02/2024,10/04/2024,13,45,45,2,1.00,Winter,0,329.66,82.82,29.97,1
P-2024-026,0,Residential,Concrete,New Build - Low Density,299,1,9,3.58,299.00,09/09/2024,03/10/2024,24,09/09/2024,07/10/2024,7,28,28,9,3.00,Autumn,0,194.50,58.85,17.68,1
