project_id,project_type,material_type,surface_area_m2,num_levels,num_units,building_height_m,planned_start_date,planned_end_date,scope_category,project_notes,engineer_assigned,num_revisions,revision_reason
P-2022-005,Residential,Mixed,290,1,4,3.65,2022-12-07,2022-12-22,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Junior engineer,1,Scope Creep
P-2024-004,Industrial,Wood,3635,6,1,32.0,2024-08-24,2025-03-26,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Mid-level engineer,0,None
P-2024-005,Residential,Steel,185,1,1,4.29,2024-05-23,2024-06-07,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Senior engineer,0,None
P-2023-007,Commercial,Steel,1191,6,1,22.05,2023-02-25,2023-05-06,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Drafting phase.",Mid-level engineer,2,Site Condition
P-2022-006,Residential,Mixed,115,1,6,2.74,2022-05-24,2022-06-09,New Build - Low Density,Project uses custom materials; coordination with specialty supplier required.,Senior engineer,0,None
P-2022-007,Residential,Concrete,402,3,2,9.65,2022-09-28,2022-10-17,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Senior engineer,2,Site Condition
P-2023-008,Residential,Concrete,506,3,7,11.04,2023-02-07,2023-03-30,New Build - Low Density,Project uses custom materials; coordination with specialty supplier required.,Junior engineer,1,Client Change
P-2022-008,Commercial,Wood,1445,4,1,17.86,2022-04-25,2022-06-12,Tenant Improvement,"Standard Commercial project scope, focusing on efficient Drafting phase.",Junior engineer,1,Code Conflict
P-2022-009,Residential,Steel,127,2,2,7.4,2022-03-02,2022-03-24,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Lead engineer,0,None
P-2024-006,Industrial,Concrete,3242,14,1,65.92,2024-03-16,2024-11-15,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Calculation phase.",Mid-level engineer,0,None
P-2023-009,Commercial,Mixed,811,3,1,9.63,2023-12-02,2024-01-04,Tenant Improvement,"Standard Commercial project scope, focusing on efficient Calculation phase.",Junior engineer,1,Site Condition
P-2023-010,Residential,Mixed,254,2,8,6.05,2023-06-25,2023-07-23,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Lead engineer,0,None
P-2023-011,Residential,Mixed,106,2,2,6.79,2023-08-05,2023-08-18,New Build - Low Density,Project uses custom materials; coordination with specialty supplier required.,Mid-level engineer,0,None
P-2024-007,Institutional,Concrete,3583,6,1,31.85,2024-04-19,2024-10-07,Complex Infrastructure,Complex permitting process expected; started pre-application phase early.,Lead engineer,1,Scope Creep
P-2023-012,Residential,Steel,365,2,5,6.26,2023-06-28,2023-07-26,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Junior engineer,1,Scope Creep
P-2022-010,Institutional,Concrete,3584,9,1,43.83,2022-12-17,2023-07-26,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Calculation phase.",Senior engineer,2,Site Condition
P-2022-011,Industrial,Concrete,4411,1,1,3.97,2022-10-18,2023-04-23,Complex Infrastructure,High revision count due to client changes. Requires extra QA effort for Industrial compliance.,Mid-level engineer,3,Client Change
P-2024-008,Residential,Mixed,560,2,7,6.07,2024-02-02,2024-03-09,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Mid-level engineer,2,Code Conflict
P-2023-013,Commercial,Concrete,1345,6,1,26.43,2023-11-14,2024-01-10,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Junior engineer,2,Code Conflict
P-2022-012,Institutional,Steel,1486,12,1,61.1,2022-06-26,2022-11-16,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Drafting phase.",Mid-level engineer,2,Site Condition
P-2024-009,Institutional,Wood,2229,3,1,15.29,2024-12-05,2025-03-20,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Calculation phase.",Junior engineer,1,Client Change
P-2024-010,Commercial,Steel,1106,6,1,27.28,2024-11-04,2024-12-25,New Build - Mid Density,High revision count due to client changes. Requires extra QA effort for Commercial compliance.,Mid-level engineer,3,Client Change
P-2023-014,Residential,Concrete,396,3,1,9.25,2023-08-27,2023-10-02,New Build - Low Density,High revision count due to client changes. Requires extra QA effort for Residential compliance.,Mid-level engineer,4,Site Condition
P-2022-013,Residential,Mixed,471,1,1,3.25,2022-10-24,2022-11-17,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Senior engineer,1,Code Conflict
P-2022-014,Residential,Concrete,244,2,1,5.57,2022-06-24,2022-07-15,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Junior engineer,0,None
P-2023-015,Residential,Concrete,140,3,7,8.13,2023-03-24,2023-04-13,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Senior engineer,1,Site Condition
P-2022-015,Institutional,Wood,4483,10,1,47.84,2022-07-09,2023-02-09,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Calculation phase.",Senior engineer,2,Client Change
P-2022-016,Residential,Wood,368,1,1,3.02,2022-10-10,2022-11-01,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Mid-level engineer,0,None
P-2022-017,Industrial,Concrete,1468,13,1,56.23,2022-05-22,2022-10-16,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Calculation phase.",Junior engineer,2,Scope Creep
P-2023-016,Commercial,Wood,1034,5,1,23.7,2023-03-23,2023-05-16,New Build - Mid Density,High revision count due to client changes. Requires extra QA effort for Commercial compliance.,Senior engineer,3,Code Conflict
P-2023-017,Commercial,Concrete,1309,5,1,21.24,2023-02-07,2023-04-08,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Drafting phase.",Mid-level engineer,0,None
P-2022-018,Residential,Mixed,505,2,3,6.67,2022-01-27,2022-03-03,New Build - Low Density,High revision count due to client changes. Requires extra QA effort for Residential compliance.,Lead engineer,3,Client Change
P-2024-011,Commercial,Steel,1280,5,1,19.87,2024-07-24,2024-10-16,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Drafting phase.",Senior engineer,1,Site Condition
P-2024-012,Industrial,Wood,3112,8,1,43.22,2024-02-06,2024-08-22,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Senior engineer,2,Client Change
P-2024-013,Residential,Mixed,118,2,2,5.97,2024-01-09,2024-01-27,New Build - Low Density,High revision count due to client changes. Requires extra QA effort for Residential compliance.,Mid-level engineer,4,Client Change
P-2022-019,Industrial,Wood,1433,4,1,17.62,2022-07-22,2022-09-19,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Junior engineer,2,Code Conflict
P-2023-018,Residential,Mixed,167,1,4,2.87,2023-01-21,2023-02-14,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Senior engineer,2,Site Condition
P-2024-014,Institutional,Concrete,1729,2,1,10.31,2024-05-18,2024-08-21,Complex Infrastructure,Complex permitting process expected; started pre-application phase early.,Junior engineer,2,Code Conflict
P-2024-015,Industrial,Wood,3690,5,1,17.83,2024-05-24,2025-01-01,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Junior engineer,1,Code Conflict
P-2022-020,Institutional,Wood,1070,6,1,37.66,2022-12-17,2023-03-15,Complex Infrastructure,High revision count due to client changes. Requires extra QA effort for Institutional compliance.,Mid-level engineer,3,Client Change
P-2022-021,Industrial,Concrete,4623,6,1,29.06,2022-03-16,2022-10-19,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Junior engineer,1,Site Condition
P-2023-019,Residential,Wood,210,1,8,2.76,2023-10-04,2023-10-28,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Mid-level engineer,1,Scope Creep
P-2023-020,Residential,Concrete,215,2,7,6.56,2023-10-24,2023-11-15,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Mid-level engineer,1,Client Change
P-2023-021,Industrial,Concrete,4597,1,1,5.27,2023-11-08,2024-07-24,Complex Infrastructure,High revision count due to client changes. Requires extra QA effort for Industrial compliance.,Junior engineer,4,Code Conflict
P-2023-022,Residential,Concrete,197,1,6,3.16,2023-02-14,2023-02-28,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Senior engineer,0,None
P-2022-022,Commercial,Wood,740,4,1,17.76,2022-08-01,2022-09-24,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Mid-level engineer,0,None
P-2023-023,Residential,Steel,247,2,3,6.91,2023-02-05,2023-02-21,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Senior engineer,0,None
P-2023-024,Commercial,Concrete,1422,4,1,17.75,2023-03-10,2023-05-06,New Build - Mid Density,High revision count due to client changes. Requires extra QA effort for Commercial compliance.,Junior engineer,3,Client Change
P-2023-025,Commercial,Mixed,1964,3,1,13.3,2023-04-24,2023-06-29,Tenant Improvement,"Standard Commercial project scope, focusing on efficient Calculation phase.",Junior engineer,0,None
P-2022-023,Industrial,Wood,3072,1,1,4.59,2022-10-14,2023-02-09,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Mid-level engineer,0,None
P-2023-026,Institutional,Mixed,3990,12,1,56.59,2023-03-08,2023-11-12,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Calculation phase.",Junior engineer,0,None
P-2022-024,Commercial,Steel,1718,5,1,18.34,2022-08-08,2022-10-08,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Drafting phase.",Junior engineer,1,Site Condition
P-2024-016,Industrial,Mixed,4203,13,1,76.05,2024-12-22,2025-10-06,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Junior engineer,0,None
P-2022-025,Institutional,Wood,1657,12,1,42.24,2022-09-22,2023-02-18,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Calculation phase.",Mid-level engineer,1,Code Conflict
P-2023-027,Commercial,Steel,518,6,1,23.26,2023-06-18,2023-08-09,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Drafting phase.",Junior engineer,2,Code Conflict
P-2023-028,Residential,Wood,591,1,5,2.62,2023-09-27,2023-10-27,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Junior engineer,2,Client Change
P-2024-017,Industrial,Concrete,1767,12,1,53.96,2024-12-13,2025-05-25,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Calculation phase.",Mid-level engineer,0,None
P-2024-018,Institutional,Concrete,2869,9,1,30.43,2024-06-14,2024-11-26,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Calculation phase.",Junior engineer,2,Site Condition
P-2024-019,Institutional,Concrete,1632,11,1,45.08,2024-03-02,2024-06-25,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Calculation phase.",Mid-level engineer,0,None
P-2023-029,Commercial,Wood,1964,5,1,21.33,2023-01-02,2023-03-04,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Drafting phase.",Senior engineer,2,Site Condition
P-2024-020,Commercial,Mixed,1626,5,1,19.29,2024-05-07,2024-07-21,Tenant Improvement,High revision count due to client changes. Requires extra QA effort for Commercial compliance.,Junior engineer,4,Client Change
P-2023-030,Commercial,Concrete,1544,5,1,22.55,2023-07-17,2023-10-09,Tenant Improvement,"Standard Commercial project scope, focusing on efficient Drafting phase.",Senior engineer,2,Client Change
P-2022-026,Commercial,Steel,1595,7,1,28.73,2022-05-23,2022-08-30,Tenant Improvement,"Standard Commercial project scope, focusing on efficient Drafting phase.",Lead engineer,0,None
P-2024-021,Commercial,Concrete,1983,7,1,23.06,2024-11-01,2025-01-26,Tenant Improvement,"Standard Commercial project scope, focusing on efficient Calculation phase.",Lead engineer,0,None
P-2023-031,Industrial,Concrete,2008,12,1,54.38,2023-04-14,2023-09-28,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Calculation phase.",Senior engineer,2,Site Condition
P-2022-027,Institutional,Wood,2683,13,1,45.14,2022-04-25,2022-12-21,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Drafting phase.",Junior engineer,1,Client Change
P-2023-032,Residential,Wood,269,3,2,10.17,2023-03-28,2023-04-24,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Mid-level engineer,0,None
P-2024-022,Commercial,Wood,1650,5,1,16.69,2024-08-17,2024-10-31,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Senior engineer,0,None
P-2022-028,Commercial,Steel,1795,5,1,19.52,2022-01-10,2022-03-30,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Junior engineer,1,Site Condition
P-2023-033,Commercial,Wood,1495,6,1,22.33,2023-07-11,2023-09-25,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Mid-level engineer,2,Code Conflict
P-2024-023,Commercial,Steel,528,2,1,8.17,2024-11-14,2024-12-11,Tenant Improvement,"Standard Commercial project scope, focusing on efficient Drafting phase.",Junior engineer,1,Scope Creep
P-2024-024,Commercial,Mixed,1428,4,1,15.3,2024-04-21,2024-05-31,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Senior engineer,1,Scope Creep
P-2024-025,Commercial,Concrete,1054,6,1,27.01,2024-02-25,2024-04-08,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Junior engineer,1,Code Conflict
P-2024-026,Residential,Concrete,299,1,9,3.58,2024-09-09,2024-10-03,New Build - Low Density,"Standard Residential project scope, focusing on efficient Drafting phase.",Lead engineer,1,Scope Creep
