project_id,project_type,material_type,surface_area_m2,num_levels,num_units,building_height_m,num_revisions,revision_reason,planned_start_date,planned_end_date,expected_duration_days,scope_category
P-2022-074,Residential,Wood,445,3,7,9.87,3,Scope Creep,2022-03-01,2022-04-06,36,New Build - Low Density
P-2022-075,Industrial,Concrete,3414,10,1,48.0,2,Code Conflict,2022-06-16,2022-11-23,160,Complex Infrastructure
P-2022-076,Commercial,Concrete,1412,4,1,15.05,1,Site Condition,2022-10-06,2022-11-25,50,New Build - Mid Density
P-2022-077,Institutional,Steel,3525,4,1,17.49,2,Scope Creep,2022-06-11,2022-11-13,155,Complex Infrastructure
P-2022-078,Residential,Wood,510,3,5,10.25,0,None,2022-10-18,2022-11-27,40,New Build - Low Density
P-2022-079,Commercial,Concrete,650,4,1,15.19,2,Scope Creep,2022-02-10,2022-03-24,42,Tenant Improvement
P-2022-080,Residential,Wood,304,1,6,3.08,0,None,2022-11-13,2022-12-09,26,New Build - Low Density
P-2022-081,Industrial,Concrete,2486,9,1,33.87,3,Scope Creep,2022-11-09,2023-03-13,124,Complex Infrastructure
P-2022-082,Residential,Concrete,147,3,6,9.93,3,Client Change,2022-07-09,2022-08-12,34,New Build - Low Density
P-2022-083,Industrial,Concrete,2722,1,1,3.58,3,Scope Creep,2022-09-14,2023-01-10,118,Complex Infrastructure
P-2022-084,Industrial,Mixed,3262,7,1,36.19,1,Code Conflict,2022-10-24,2023-05-03,191,Complex Infrastructure
P-2022-085,Commercial,Concrete,1940,5,1,16.75,2,Scope Creep,2022-05-15,2022-08-08,85,Tenant Improvement
P-2022-086,Commercial,Wood,686,7,1,32.01,1,Site Condition,2022-08-04,2022-10-01,58,New Build - Mid Density
P-2022-087,Industrial,Concrete,2456,9,1,38.24,3,Client Change,2022-05-18,2022-11-06,172,Complex Infrastructure
